,speaker,utterance
3138,A,"I'm sorry,"
3139,A,guess we killed the wrong guy.
3140,B,"Yeah,"
3141,B,"it's, it's,"
3142,B,"yeah,"
3143,B,"once you've made a decision that way, it's a little difficult to go back on it."
3144,A,"Right,"
3145,A,"you, you can apologize nicely,"
3146,A,"but, you know, you know, I think, you know, the, the price, you know,"
3147,A,"it, I've heard quotes, you know, it's better that a thousand people go free, than one person be unjustly imprisoned. I think is really the, the philosophy of the way our legal system works."
3148,B,"Oh, yeah,"
3149,B,"yeah,"
3150,B,it's
3151,B,"the benefit of the doubt to the last iota is, uh, based on the, uh, person who is accused."
3152,A,"Yeah,"
3153,A,"and, you know, the, I, I think that, you know,"
3154,A,"and the way it's being used now, it's like you listen to Bush is, you know,"
3155,A,"well, where are we going to impose you know,"
3156,A,"it's like for drug dealers is the new big thing like in,"
3157,A,"Tsongas is also saying, you know, capital, make it a capital crime to be a major drug dealer."
3158,B,Right.
3159,A,"And, again, I don't thing these people care. *typo replace thing with think"
3160,A,They risk their lives every day.
3161,B,"Yeah,"
3162,B,"and, there, there, they seem that the profit uh, drug dealers, the profit margin's so high that, yeah the, the risk is almost not there."
3163,A,Yeah.
3164,A,"Yeah,"
3165,A,"and, and, you know, uh, especially, now, I live in, in Massachusetts, you know,"
3166,A,we're going to get capital punishment here probably after the second coming or something.
3167,B,Yeah.
3168,A,"So, you know,"
3169,A,"but you look at our, our crime rates and things like that and you compare them to, to like Texas or someplace that does, you know, it, it, it's impossible to make a case that it's, it's affecting it in any way."
3170,B,Yeah.
3171,A,"I think it's mainly, people, like, they get the vengeance of it."
3172,B,"Yeah,"
3173,B,"well it's also,"
3174,A,"Because, you know,"
3175,B,I used to live in Georgia
3176,B,"and, you know, the, the big thing down there was, all right, we have capital punishment,"
3177,B,"but if you look at who gets accused and who are the ones who actually get executed, it's very racially related and ethnically related,"
3178,A,"Oh, yeah"
3179,A,it's lot of blacks.
3180,A,Also a lot of young people.
3181,A,"You know, a, a, a sixty-two year old guy is less likely to be put on death row from what I've seen."
3182,B,Right.
3183,A,"And, you know, I, I think when you listen to like the, uh, the, the victims' families and things, they're always talking about, you know, uh, feeling justified or feeling, you know, like they've gotten something out of it,"
3184,A,"I mean, my thought has been, once the guy has been imprisoned, if he goes to jail forever or whatever, if he gets killed, it shouldn't make any difference to the, uh, the victim's family."
3185,A,"The only thing that should really, I mean,"
3186,A,"obviously, if someone of mine who has close died, I'd probably feel differently,"
3187,A,"but you know, you know, what, the important thing is that they be caught and not be a danger to society."
3188,B,Right.
3189,B,Right
3190,B,"and that,"
3191,B,"and, you know, also by keeping them in prison, you do have the possibility, though, we don't currently do this, of making restitution."
3192,A,"Right,"
3193,A,"mean,"
3194,B,"You, you will work your prison job"
3195,B,and any money you earn will go to the victim's family.
3196,A,Right
3197,A,"and, the, the other thing is that, you know, I was reading through a book on, uh, geneo, human geneo research"
3198,B,Uh-huh.
3199,A,"and there, more and more things like schizophrenia"
3200,A,"and why, does it just turn out to be genetic or biochemical in origin."
3201,B,Right.
3202,A,"So if someday we can go to Jeff Dahlmer and say, well, the problem is you, you've got an endorphin imbalance"
3203,A,"and, you know, if you take this regularly, you'll be a sane and productive member of society you know,"
3204,B,Uh-huh.
3205,A,"you really get back to the question of, you know, is someone responsible for their actions."
3206,B,"Yeah,"
3207,B,"well, I, I think on some of it, you have to say someone's responsible for his actions."
3208,B,"I never like the, uh, the defense, Well, I never liked the, uh, insanity defense."
3209,A,Society made me do it.
3210,A,Yeah.
3211,A,"Well, anyway I, uh, I, uh, oh,"
3212,A,yeah.
3213,A,I did forget to ask you.
3214,A,What is your name by the way?
3215,B,"Uh, I'm Ann."
3216,A,"Oh, you're Ann."
3217,A,Hi.
3218,A,"But, uh, anyway, I, uh,"
3219,A,"lot of, lot of interesting procedural things I think would be a good, be a good change if we're going to be talking about the subject tonight which in some I guess criminal courts the"
3220,B,Criminal courts?
3221,B,Yes.
3222,A,Yeah.
3223,A,"the one of which was, uh, something, something that's been going on because of the Rodney King trial here in town"
3224,A,"and that is, uh, and that is the exclusion of jurors because of or in spite of their race. Uh,"
3225,B,"Oh, really?"
3226,A,Yeah.
3227,A,"Well, they, they, uh, the, the people that"
3228,A,"the, uh, the jury that's trying, uh, the officers in that case,  is, is an all white panel."
3229,B,Uh-huh.
3230,A,"And there's been a lot made in the local papers of that,  fact."
3231,B,I see.
3232,B,"I can't,"
3233,B,I'm a little surprised they didn't get a change of venue on that one.
3234,A,They have.
3235,A,They have.
3236,A,They moved it up to the county north of here.
3237,B,Oh.
3238,A,"Um, it's in Ventura"
3239,A,"and there's, there's still quite a bit of publicity obviously,"
3240,A,"and it's kind of, it's kind of debatable whether you could get a fair trial almost anywhere because that, uh, that,"
3241,B,"Well, that videotape was just horrible."
3242,A,Yeah.
3243,A,It was everywhere.
3244,B,Yes.
3245,A,"So you know,"
3246,A,"and I, I think it would be very difficult to find someone, uh, find a panel that would be, not have seen it and, and known of what was going on."
3247,B,"Oh, I agree with you"
3248,B,"but I can't imagine that they would do an all white jury without having some sort of, of discrimination or, or, you know, uh, appeal on not having a jury of his peers and all of that kind of stuff."
3249,A,Exactly.
3250,A,"You know, um, the you know,"
3251,A,"I, I'm kind of torn on this issue."
3252,A,"It's like they're saying well on the one hand they're not, he's not getting a jury of his peers which is in some ways I think true."
3253,A,"But on the other hand, it's, it's also saying that white jurors are not going to, are not going to convict."
3254,B,Right.
3255,A,"Uh, you know, they're not going to do their job. Which is"
3256,A,"the whole, the whole point of being on a jury is to convict or, or, or, uh, let go based on whether,  or not the person, whether or not the evidence says,  that there's enough"
3257,B,Exactly.
3258,B,Based on fact.
3259,B,Right.
3260,B,How interesting.
3261,B,Oh.
3262,B,So what's the prevailing thought within the community?
3263,A,"Um,"
3264,B,"I mean you know, what the news media is going to make of it,"
3265,B,but what about the community?
3266,A,"They, well,"
3267,A,I guess it depends on who you talk to.
3268,A,"I haven't talked to, uh, I haven't talked to a whole lot of black people on it"
3269,A,"but I, I rather imagine there's, there's some snickering about it. And a lot of the usually fatalistic, uh, here we go again folks,  kind of stuff."
3270,B,Uh-huh.
3271,B,"Oh, my goodness."
3272,B,That can't be good for Los Angeles either.
3273,A,"No,"
3274,A,no.
3275,A,"I, you know,"
3276,A,"on, on, on one hand you know, on the one hand you almost hope that they convict them because it's they have that very strong piece of physical evidence showing,  these people beating the heck out of this guy. Um,"
3277,B,"Oh, exactly."
3278,B,Unfortunately that kind of thing is not limited to a big city like Los Angeles.
3279,B,You're going to have it just about anywhere.
3280,A,Uh-huh.
3281,B,There. *listen
3282,A,"Well,"
3283,B,"But that's, that's interesting."
3284,A,Yeah. Um
3285,B,What about the judge who's hearing the case?
3286,B,Is he going to be impartial?
3287,B,"Is he going to, be a a good adjudicator?"
3288,A,"I don't know. You know,"
3289,A,"and, and again there's something else you know, there was a uh, something else along those lines."
3290,A,There was a girl out here named
3291,A,"I don't know if it's, it's got, it's got as much notoriety"
3292,A,"but it's rather almost as infamous here as it was, as it was with, uh, the Rodney King problem."
3293,A,"Um, a girl walked into a Korean owned store"
3294,A,"and, uh, they, she had a dispute, black girl."
3295,B,Uh-huh.
3296,A,"She, she had some kind of a dispute over some orange juice with the, with the owner of the store."
3297,A,The owner of the store popped her.
3298,B,"Oh, really?"
3299,A,Yeah.
3300,A,"And, and, oh, of course, they,"
3301,A,"you know, the criminal case went up"
3302,A,"and, and the judge gave the woman who shot her, shot the girl a, uh, uh, practically a suspended sentence."
3303,A,"I mean it was it was just,"
3304,B,"Oh, my goodness."
3305,A,"she gave her no time in jail, you know, all of these things"
3306,A,"and then, oh, there's we have these, we have people wondering around with petitions trying to get the judge,"
3307,B,To get that judge recalled I would think.
3308,A,Yeah.
3309,A,Yeah.
3310,B,Huh.
3311,B,That's almost when you kind of wish that there where standardized sentences.
3312,A,Yeah.
3313,A,"It would make, it would make life easier."
3314,B,It would.
3315,A,Yeah.
3316,B,"Uh,"
3317,A,"But,"
3318,B,"you would know, the whole world would know what you were facing."
3319,B,"And then it's a matter of, of deciding,"
3320,A,Okay.
3321,A,"Uh, before a couple of years ago, I had a, a very narrow view of, of nursing homes"
3322,A,"and it was, uh, more like a funeral home."
3323,A,I always joked around about it being a funeral home and not really a nursing home.
3324,A,"And, uh, then I had to do some volunteer work here in Tyler, Texas"
3325,A,and I went to one
3326,A,and it just had a very good activities director.
3327,A,Everyone was cheerful
3328,A,and now I don't have such a bad view of nursing homes anymore.
3329,A,"But I, I certainly wouldn't want to send my parent unless it was an absolute last resort."
3330,A,"Uh, I have a sister that is in nursing school"
3331,A,and she's real interested in geriatrics.
3332,B,"Well, that sounds good."
3333,A,Yeah.
3334,A,"So, uh, she, she's real interested in, uh, what Ann Richards has been doing."
3335,A,"She's, Ann Richards is really cracking down on, uh, the nursing homes"
3336,A,"and, I don't know, you wouldn't know anything about a Texas governor"
3337,B,I've heard the name
3338,B,and that's about all it goes.
3339,A,Okay.
3340,A,Ann Richards is our governor in Texas
3341,A,and she's really cracking down on restrictions and what goes on in nursing homes.
3342,A,"And, uh, my sister's real interested in that and, and getting into the, to that side of nursing."
3343,B,Yeah.
3344,B,"That's one problem with the, the nursing home environment."
3345,B,"It, the elderly, even out of the nursing home, are very open to abuse."
3346,A,Right.
3347,B,"Uh, you know, they don't always have their full wits about them."
3348,A,Uh-huh.
3349,B,They're not completely up on what should be going on or what's not going on.
3350,A,Uh-huh.
3351,B,And it can be pretty sad.
3352,B,"I've got a, had a grandmother who had a stroke."
3353,B,And she was in a nursing home for four or five years before she died.
3354,A,Oh.
3355,B,"And, you know, it's the type of thing that she was living down in Florida."
3356,B,My families was up in Maryland
3357,A,Uh-huh.
3358,B,"and the other part of her family was up in, uh, New York state."
3359,A,Right.
3360,B,"And, you know, it was very difficult for either them or my grandfather to take care of her since she was, uh, you know, could not do very much for herself after the stroke."
3361,A,Right.
3362,B,"And, you know, the nursing home was the, you know, best facility to put her in. You know, besides moving her up which is not a practical solution since both my parents work"
3363,A,Uh-huh.
3364,B,"and both my, uh, aunts and uncle work. Which means it's, you know, very difficult for"
3365,A,Right.
3366,B,you essentially need to have someone taking care of the person full-time.
3367,A,Right.
3368,B,"And, you know, there's also a lot of medical problems that can't always be completely handled in the home. Which makes it, you know,"
3369,A,Right.
3370,B,it's a necessary evil I think.
3371,A,Uh-huh.
3372,A,It sure is.
3373,A,And some of the really nice ones that really take care of their people are so expensive. Because  cause they can afford to hire the people that are really going to care for the older.
3374,B,Yeah.
3375,B,Yeah.
3376,B,"And, you know, even there you have to watch out for, you know,"
3377,B,you get one person who's a little bit dishonest working in there
3378,B,"and, you know, the elderly sometimes have a lot of jewelry and other stuff that just very easily tends to disappear in the nursing homes."
3379,A,"Oh, yeah."
3380,A,Right.
3381,A,My grandfather passed away several years ago.
3382,A,I was much younger.
3383,A,"But, uh, he was in the nursing home the last several years of his life"
3384,A,and someone visited him every day.
3385,A,My grandmother did.
3386,A,"But, uh, if she couldn't, someone visited him every day."
3387,A,It was in a very small town nursing home.
3388,B,Uh-huh.
3389,A,"And, uh, people didn't get paid much there at all."
3390,A,They didn't care about what went on.
3391,B,Yeah.
3392,A,"They would let a, let a patient get a lot of bed sores."
3393,B,Uh-huh.
3394,A,"And, uh, the, the people living in the nursing home would have all kinds of needs that wouldn't get met because they were just old people."
3395,A,"And then, the nurses and doctors really didn't put any for, forth any loving care for them."
3396,B,"Either that or they're just so understaffed that they can't afford to put in the, uh, care that they need. Cause it's, you know,"
3397,A,Right.
3398,A,Right.
3399,B,"an elderly person can, you know,"
3400,B,it's like a newborn baby.
3401,B,"You need to have twenty-four hour care uh, answering all the needs cause they can't do much for themselves at certain points."
3402,A,Uh-huh.
3403,A,Right.
3404,A,Right.
3405,A,And nurses get so worn down.
3406,B,Uh-huh.
3407,B,"And, you know, there's a lot of, number of"
3408,B,"the elderly are very, you know, complaining because they remember the way that things used to be. And remember being able to do things for themselves which, you know, they no longer can."
3409,A,Right.
3410,A,"Oh, sure."
3411,A,And they feel  they feel pretty helpless.
3412,B,"And it, very, very hard for them to accept that."
3413,B,"We just, uh, moved my grandfather into, not a nursing home but, you know, a transitional type facility."
3414,A,"Is it, uh, like a retirement center?"
3415,B,More of a retirement home.
3416,B,He's got his own efficiency apartment.
3417,A,Uh-huh.
3418,B,And they provide one meal a day.
3419,A,Uh-huh.
3420,B,"And, you know, the rest of the housekeeping and other meals a day are up to him."
3421,A,Uh-huh.
3422,B,"But they do have, you know, group activities going on."
3423,A,How's he handling that?
3424,B,"Uh, he'd much rather be living alone in his apartment down in Florida."
3425,A,Uh-huh.
3426,B,"Uh, you know, to move into that facility we moved him from Florida up to Maryland"
3427,B,"and it's, it's a bit of a shock to the system, weather-wise, if nothing else."
3428,A,Ooh.
3429,A,"Oh, sure."
3430,A,"There wasn't anything like that, that you could do in Florida?"
3431,B,Well there was stuff like that in Florida
3432,B,"but,"
3433,A,"Uh, so, uh, what are your benefits like at your job,"
3434,A,and how do you feel about them?
3435,B,"Uh, pretty good, actually."
3436,B,I work for Hewlett Packard
3437,B,"and they have, uh, a pretty good, uh, benefits package."
3438,B,"In fact, they're, they're kind of known, uh, for having good benefits."
3439,B,"The pay isn't fabulous,"
3440,B,although I saw a survey recently
3441,B,"and I'm actually making just about as much as, you know, I'm making actually over average, over the average for my career, my experience and all that stuff which kind of surprised me."
3442,A,"Oh, that's good."
3443,A,Uh-huh.
3444,A,What kind of a degree have you got?
3445,B,I've got a Bachelor's in electrical engineering
3446,B,"so,"
3447,A,Oh.
3448,B,"And I'm not, like, a hugely advanced degree or any that"
3449,A,Uh-huh.
3450,B,"Uh, anyway, the, our benefits are pretty good."
3451,B,"We've got stock purchase program and a,"
3452,B,"that, that's pretty generous, although you have to hold the stock for two years before you get the company contribution which is, kind of a, a pain,"
3453,A,Uh-huh.
3454,B,"but, uh, there's a four O one K plan uh, for, uh, sheltering some taxable income."
3455,A,Uh-huh.
3456,A,Uh-huh.
3457,B,"Uh, there's,"
3458,A,How long have you been with them?
3459,B,I've been with them for seven years.
3460,A,Uh.
3461,B,Yeah.
3462,A,That's good.
3463,B,"And, the best thing, and a lot of the stuff, the best thing is like four years or five years, it's pretty soon, you're completely vested in the retirement plan and everything,"
3464,A,Uh-huh.
3465,B,"so, uh, it's not"
3466,B,"but there's full, uh, there's several medical plans to choose from, uh, that cover pretty much everything."
3467,B,"I don't get sick that often,"
3468,B,"so I don't pay much of it,"
3469,B,"and I pay five dollars every time I visit the, the hospital that, you know, for a checkup or whatever."
3470,A,Uh-huh.
3471,A,Uh-huh.
3472,B,"Uh, they don't cover eyes though,"
3473,B,"and I, I have contact lenses,"
3474,B,so that's kind of a pain.
3475,A,Uh-huh.
3476,B,"But, you know, I  I can live,"
3477,A,"But, for all  practical purpose, you are almost a hundred percent covered."
3478,B,"Oh, yeah,"
3479,B,yeah.
3480,A,"So that you've got small, small things to gripe about."
3481,B,Right.
3482,A,Wow.
3483,B,"And,"
3484,A,"Well, that sounds like you must feel really good about it."
3485,B,"Yeah,"
3486,B,"yeah,"
3487,B,"and, and the dental plan is"
3488,B,"The dental plan, I pay absolutely nothing because, uh"
3489,A,Wow.
3490,B,"I, I guess they would charge a little bit if there was some orthodontia or something for one of my dependents or something like that"
3491,A,Uh-huh.
3492,B,"but that's not the case,"
3493,A,Uh-huh.
3494,B,"so, I guess nothing."
3495,B,It's fabulous.
3496,A,Wow.
3497,B,"Uh, the,"
3498,B,what about you?
3499,A,"Well, I, uh, work in Washington at the Naval Research Laboratory."
3500,A,I also have a part time job at a law firm
3501,A,"and I get no benefits from them, to the part time work although, they pay better per hour than my, my sort of, quote, real job does."
3502,B,Uh-huh.
3503,A,"Uh, and benefits, through the government are, uh, really,"
3504,A,"uh, they just, uh, they're not the greatest."
3505,A,"Uh, I, before I, I, uh, uh, got my degree"
3506,A,"I'm, uh, a computer scientist"
3507,B,Uh-huh.
3508,A,"and before I got my degree, I had, uh, done paralegal work for law firms here in Washington"
3509,B,Uh-huh.
3510,A,"and, uh, at that time, I was in gravy city."
3511,A,"Uh, the law firms in this town are not, you know,"
3512,A,for a long time were just rolling in the dough in the early eighties
3513,B,Yeah.
3514,A,"and, uh, benefits were just amazing"
3515,B,Uh-huh.
3516,A,"and we had everything paid for,"
3517,A,"and, uh, anyway, with the government, it's not, uh, quite that nice a deal."
3518,A,"Uh, but it's, you know, it's, it's okay."
3519,A,"What we have to do is, we have to pay, uh, about twenty percent of our, uh, uh, our costs"
3520,A,"and it's deducted from our check each month and that sort of thing,"
3521,A,"and the plans that are available to us, uh, range from kind of mediocre to really sweet"
3522,A,"and, uh, so I, I think I'm actually involved in a relatively good plan at this point."
3523,A,"Uh, but, uh, it could be better,"
3524,A,"that's for sure,"
3525,A,"and, uh, but, you know there are other things that you get when you work for the government uh, in, in terms of, uh, more relaxed atmosphere."
3526,B,Yeah.
3527,A,"It's really nice to be, for me, anyway, to be able to work in, uh, a research atmosphere, uh, where I don't have to, uh, uh, you know, worry about, uh, academics or anything like that,"
3528,A,"and, so I'm, I'm really kind of happy about that end of, of things."
3529,A,"It's, uh,"
3530,B,"Yeah,"
3531,B,"one of the things with my company is that they've, uh, got a reputation for a lot of job security"
3532,B,"and, uh there's a lot of different things that they do, lot of different divisions even this area, in the San Francisco Bay Area that they do,"
3533,A,Uh-huh.
3534,B,"so there's,"
3535,B,"I, myself have moved around quite a bit within the company"
3536,A,Uh-huh.
3537,B,"and it's, and I, and I haven't had to move my residence to do that."
3538,B,"You know, I still live in San Jose"
3539,B,"and,"
3540,A,"Wow,"
3541,A,that's fabulous.
3542,B,Yeah
3543,B,"it,"
3544,A,"You see, now that's, that's interesting,"
3545,A,because I have a cousin whose husband works for Hewlett Packard up in the Massachusetts area.
3546,B,"Oh, yeah?"
3547,B,Yeah.
3548,A,"He, he lives in Andover"
3549,B,Uh-huh.
3550,A,"and, uh, the work that he,"
3551,A,"he's, uh, specifically an engineer and, and does work with, uh, the Hewlett Packard machines that do, uh, uh, sonographic imagining"
3552,B,"Right,"
3553,B,right.
3554,A,"and, uh, I've been over to see his complex over there"
3555,A,and it's amazing.
3556,B,Uh-huh.
3557,A,"It's, it's all ecologically designed"
3558,A,"and, and, uh, he seems really, really happy with the, the set up."
3559,B,"Yeah,"
3560,B,yeah.
3561,A,"And,"
3562,B,"In fact, I know a guy who works at Andover who used to work, who I used to work with out here"
3563,A,Uh-huh.
3564,B,"and he moved his family back east a few years ago to, to take that position."
3565,B,Kind of interesting.
3566,B,"Uh, anyhow,"
3567,A,"Steve, uh, with the election year and whatnot coming up, do you think we ought to cut taxes, raise them,"
3568,A,"or, or, or what do you think?"
3569,B,"Well, that's, that's a really hard question."
3570,B,"I do know that, uh, politicians always talking out of both sides of their mouths."
3571,B,"Uh, I"
3572,B,"let's example, uh,"
3573,B,"our friend, the President, right now, says no new taxes,"
3574,B,"we should and especially, if anything, be cutting taxes now because of the recession"
3575,B,"and at the same time, the budget he sent to Congress has tax and fee increases,"
3576,B,"so, uh, I know the politicians, uh, aren't, aren't straightforward."
3577,B,"Now, in terms of economics I'm not,"
3578,B,"it's hard, hard to call."
3579,B,It really is.
3580,A,Uh-huh.
3581,A,"See, I never thought really, it's, uh, I never really thought that, that the, the question really had to do whether or not we're paying too much or too little."
3582,A,"I, I always that the, the real question was is, are we getting a reasonable return on, on investment."
3583,A,"For instance, like Social Security tax or uh,"
3584,A,"I mean, that's, that's tax"
3585,A,we're paying money
3586,A,"and, and supposedly this money is going into some kind of fund so that when it comes our turn to retire, the money will be there for us."
3587,B,Right.
3588,A,"So that's,"
3589,A,"yeah, you know,"
3590,A,"when I, when I see that money taken out of my paycheck each, each week, I, or each, every other week, I, I really think that money's history"
3591,A,"and you know, so as far as return investment, that's not, that's nothing"
3592,B,"Yes, uh,"
3593,A,and we're not even going to get the exact same number of dollars back.
3594,A,"Uh, someone was telling me that there is a, uh, uh, there's still an office in, uh, you know, staffed with, with people there and, in D C that are researching to find a cure for polio, which,"
3595,A,"I may be wrong,"
3596,A,"but I believe that the cure for polio is already founded,"
3597,A,"but, but supposedly once you have an office in D C, or, you know, and, and staff it with people, it's really tough to close it down"
3598,A,"and, and they just haven't yet."
3599,B,"Well, yeah,"
3600,B,"I'm not exactly sure, uh, about polio in particular."
3601,B,I know we have a polio vaccine come will prevent somebody from getting polio
3602,A,Uh-huh.
3603,B,I'm not sure if we know what to do in terms of curing some who has already gotten polio.
3604,A,"Well, that might be the difference."
3605,A,I don't know.
3606,A,"Uh, the other thing that, uh, I remember seeing on T V lately is, uh, had to do with,"
3607,A,it's like seventy-five percent of the historical sites in America are in the home districts of very powerful people politically
3608,B,Right.
3609,A,"that, that for some reason, historical sites with, you know, the, the full federal money and everything seem to appear as, as almost as like political favors to, to very strong politicians."
3610,B,"Yeah,"
3611,B,"it's, it's, it's funny because, uh, it was one of the things that Bush is trying really hard to get ahold of is the line item veto where, uh, you know, Congress is able to attach all kinds of, uh, funny amendments for individual, uh, congressional districts to the, to the main budget proposals"
3612,A,Uh-huh.
3613,B,"and the poor President has, has to, uh, either accept or reject the whole thing."
3614,A,"So, it sounds like you, uh, you think that, that we'd be able to save some money by, uh passing the line item veto."
3615,B,Oh.
3616,B,"I, I think the line item veto is not, not, is not necessarily a bad thing, assuming that the, uh, the, the President, uh, uses it to get rid of, uh, this kind of waste."
3617,B,"On the other hand, uh, it, it assumes that you have lots of confidence in your President not to veto important things. Uh, and just to get rid of the unimportant things."
3618,A,Yeah.
3619,B,"And whenever there's that kind of subjective judgment, there's always going to be a dispute as to, uh, where the where the boundary between waste and, and necessity is."
3620,A,Uh-huh.
3621,B,"So I'm not, I'm not sure that, that that will help solve our problems,"
3622,B,"but there definitely is, is a problem with,"
3623,B,"uh, I forgot,"
3624,B,"there's a political term for this stuff, pork barrel or something."
3625,A,Yeah.
3626,B,"Uh,"
3627,A,Pork barrel politics.
3628,B,Pork barrel politics.
3629,B,there has to be some way to do it.
3630,B,I know state governors usually have line item vetos
3631,B,"and, uh, I lived in Massachusetts for a while"
3632,B,"and, uh, when Dukakis vetoed certain things, there was a big uproar and wasn't necessarily so popular."
3633,A,"Yeah,"
3634,A,"but Massachusetts wasn't, when Dukakis was there, anyway, wasn't in that great shape financially."
3635,B,at least at the end.
3636,A,Uh-huh.
3637,A,"I mean, I don't know,"
3638,A,"I,"
3639,B,"Yeah,"
3640,B,"they were very good at first,"
3641,B,they were in very good financials at first
3642,B,"and, uh, that's part of the reason he became a nominee is because things went so well."
3643,B,"And then, of course, the bottom fell out."
3644,A,"It's, uh, I mean, it's, it's tough."
3645,A,"I mean, there's, there's two ways you can kind of go to get out of tough financial situations."
3646,A,I guess you can like raise taxes and then create like job programs and whatnot
3647,A,"or you can hope that if people keep their money that they'll spend more and create jobs and, and whatnot."
3648,B,And spare the economy.
3649,B,"Yeah,"
3650,B,"it's really, it's a hard balance. It, it definitely is."
3651,B,"Even not for government, even just, say, for a small business."
3652,B,"Uh, I know some,"
3653,A,"Uh, well, I'm not sure how it is in Georgia,"
3654,A,"but in, in Pittsburgh the the crime rate really is not very high at the moment."
3655,A,"Is that, is that true for, for Atlanta?"
3656,B,Atlanta is kind of high.
3657,B,"Uh, it's, it's lower than it has been in the past."
3658,B,"Uh, I guess nineteen ninety is when it start to drop off,"
3659,B,and usually around the Christmas season is usually when the crime rate is a little bit higher.
3660,A,"Yeah,"
3661,A,"I,"
3662,A,"that's probably not true only for Atlanta, but for just about anywhere."
3663,B,Yeah.
3664,B,"Uh, what kind of crime problem do you usually run into?"
3665,B,Any specifics
3666,A,"Well, uh, the least, what, from what's on the news, uh, there are very few, like actual robberies reported, uh, uh, of, of residences."
3667,A,"What's more likely to occur is, uh, robbery of, uh, you know, knocking over a, a small store or a car theft, you know, it, things of that nature."
3668,A,"Very few, uh, assaults,"
3669,A,"although on the college campuses, uh, there are, uh, cases of, you know, like people getting machine from a, from an automated teller and, you know, somebody trying to, to device a scam for, for, uh, getting the money for them that actually preys mostly on foreigners."
3670,B,Um.
3671,A,"But mostly petty things and, no, nothing, nothing really too big."
3672,B,"Right,"
3673,B,"well, I guess here we run into that sometime,"
3674,B,"but I guess a lot of crimes are done with apartment type break ins that type, not much home break ins."
3675,A,Right.
3676,B,"There are some, but not, not very high."
3677,B,"Uh, as far as tellers and things like that, it's not extremely high either."
3678,B,"There were one case where, uh, this one guy, uh, was taking women from the teller and, and, you know, making them give him money and stuff and then at the same time, raping them all,"
3679,A,Uh-huh.
3680,B,"so, so that's kind of like a double assault there."
3681,A,"Yeah,"
3682,A,"uh, a strange case that, uh, that happened, oh, it's about, about a year ago was someone actually stole a complete automated teller machine."
3683,B,Really?
3684,A,It was a free standing machine
3685,A,and they backed up into it with a truck and put it on the back and drove away with it.
3686,B,Uh-huh.
3687,B,"Oh, wow."
3688,A,"Now, there's a crime for you."
3689,B,"Yeah,"
3690,B,there's a crime.
3691,A,"Yeah,"
3692,A,"but, uh, I guess most of the things that happen around here are, are pretty, uh, innocuous."
3693,A,"Although, uh, from what I hear in the news,"
3694,A,"and, and I, I saw an episode of the T V show, COPS uh, one time that was in Pittsburgh,"
3695,B,Uh-huh.
3696,A,"and, uh, it, it, it did surprise me, because, you know, they were doing drug arrests and thing, and things like that,"
3697,A,"but I, I don't really think those things happen too often because, like I said, from what's reported in the news, at least, it's, it's not all that common."
3698,B,"Oh, okay."
3699,B,"I don't know,"
3700,B,"crime situations here, they,"
3701,B,"like I say, lot of, lot of cases is usually just apartments and, and break ins and things like that"
3702,B,"and a lot of it is due to drugs. Uh, drug related, you know, in, in most cases,"
3703,A,Yeah.
3704,B,"it's not like, uh, it's someone do steal a, a or television or V C R or something like that"
3705,B,"it is for drugs, you know, because you really can't on the street make any money off of it per se, you know,"
3706,B,you going to get ten or fifteen bucks for it
3707,A,Yeah.
3708,B,so you really not making a sizeable profit.
3709,B,"So it's not really lucrative to take chances like that, you know, even though it, it does exist."
3710,A,"You know, I, just to diverge a little bit, uh, I live in an apartment."
3711,A,Right now I'm finishing out my last semester at the University of Pittsburgh
3712,A,"and, uh, the apartment like would be very easy for just about anyone to break in"
3713,B,Right.
3714,A,"But, even so, it, I mean, it's, it's still difficult for me to convince my apartment mates to, to like lock the doors when they go out you know, and things like that."
3715,B,Yeah.
3716,B,Uh-huh.
3717,A,"Uh, it would be so easy for someone who is motivated to do so to just, you know, sit out back, take a look at when people are here and when they're not just come in, you know,"
3718,B,Uh-huh.
3719,A,there's a T V and a V C R
3720,A,"and, they could, uh, they could get in pretty easy and, and especially, uh, since there are bedrooms upstairs and people leave the door open, you know, while they're upstairs playing music,"
3721,B,Uh-huh.
3722,A,it could still happen then.
3723,B,"Yeah,"
3724,B,"that's true,"
3725,B,"but you'd be surprised also how, much people watch you that even not, uh, participating in any type crime."
3726,B,"I guess there was one case,"
3727,B,"I was surprised, uh,"
3728,B,"so happened this person worked at the same place,"
3729,B,I work for Georgia Tech
3730,B,"and they work at the same place I did,"
3731,B,but I didn't know that they had been watching me
3732,B,"because I was getting ready to, to go in my car one morning"
3733,B,"and the first thing they said is, uh, you must don't have to be to work at eight, you know,"
3734,B,"like shock,"
3735,B,"I, uh, get a lot of my news driving home from work listening to ALL THINGS CONSIDERED on national public radio."
3736,B,"Uh, that is one of my big sources for current events information."
3737,B,"Uh, I really like that coverage."
3738,B,"My wife, uh, on the other hand is home most of the day"
3739,B,and she watches a lot of the cable news network.
3740,B,"Have you seen, uh, have you, uh, ever heard of ALL THINGS CONSIDERED?"
3741,A,"No,"
3742,A,"we don't have the, uh, national public radio in, in my area."
3743,B,Uh-huh.
3744,A,"I can hear it at the, uh, uh, oh, the college town nearby when I'm in Stillwater, which is about an hour away,"
3745,A,but the F M signal doesn't reach this far.
3746,B,Uh-huh.
