,section,text
2823,METHODS,"SLED was conducted by Fresenius 4008sARrTplus dialyzer for 8 hours each session , and blood flow was set at 150 ml/min ."
2824,METHODS,"Prothrombin time ( PT ) , activated partial thromboplastin time ( APTT ) and platelet ( PLT ) count were analyzed ."
2825,RESULTS,Sixty-three patients underwent 118 sessions of SLED .
2826,RESULTS,"Among them , 59 patients ( 93.7 % ) was discharged after treatment or converted to outpatient intermittent hemodialysis , and 4 patients died of multiple organ failure during hospitalization ."
2827,RESULTS,"Compared with that in the citrate group , both PT and APTT in heparin group was significantly higher [ PT : ( 15.5 2.0 ) s vs ( 12.3 2.7 ) s , P < 0.001 ; APTT : ( 56.0 10.9 ) s vs ( 32.8 6.1 ) s , P < 0.001 ; respectively ] at 2 h during SLED.However , the PT and APTT levels in heparin group decreased afterwards and were similar with those in the citrate groups at 5 h during treatment ."
2828,RESULTS,There is no difference on PLT counts between these two groups after treatment .
2829,CONCLUSIONS,The anticoagulation effect of regional citrate and heparin was similar in patients when receiving SLED.Regional citrate may be an alternative anticoagulant approach for the patients at high risk of bleeding who require the treatment of SLED .
2830,OBJECTIVE,"Uncontrolled intervention studies , including studies involving breast cancer survivors , have demonstrated improvements in vasomotor symptoms ( VMS ) after stellate ganglion blockade ( SGB ) with a local anesthetic ."
2831,OBJECTIVE,This study presents the first randomized sham-controlled trial of SGB for the treatment of VMS .
2832,METHODS,"Participants included 40 postmenopausal women , aged 30 to 70 years , with moderate to severe VMS ."
2833,METHODS,"The study was a randomized sham-controlled trial comparing the effects of SGB versus sham injection on the frequencies of total and moderate to severe VMS , as measured by daily diaries ."
2834,METHODS,Image-guided SGB was performed with 5 mL of 0.5 % bupivacaine .
2835,METHODS,Sham injection of saline was performed in subcutaneous tissues in the neck .
2836,METHODS,VMS were recorded at baseline and for 6 months thereafter .
2837,METHODS,Objective VMS were recorded using ambulatory sternal skin conductance monitoring during a 24-hour period at baseline and on 3-month follow-up .
2838,RESULTS,"There were no significant group differences in overall VMS frequency , but the frequency of moderate to very severe VMS was reduced more in the active group compared with the sham treatment group ( event rate ratio , 0.50 ; 95 % CI , 0.35-0 .71 ; P < 0.001 ) ."
2839,RESULTS,"The frequency of objective VMS was also reduced to a greater degree in the SGB group than in the sham group ( event rate ratio , 0.71 ; 95 % CI , 0.64-0 .99 ; P < 0.05 ) ."
2840,RESULTS,There were no study-related serious adverse events .
2841,CONCLUSIONS,SGB may provide effective treatment of VMS in women who seek nonhormonal treatments because of safety concerns and personal preference .
2842,CONCLUSIONS,The finding that SGB significantly reduces objectively measured VMS provides further evidence of efficacy .
2843,CONCLUSIONS,A larger trial is warranted to confirm these findings .
2844,BACKGROUND,"Long-term adaptive servoventilation ( ASV ) increases cardiac function more effectively than continuous positive airway pressure ( CPAP ) , possibly via alleviation of sympathetic overactivation ."
2845,BACKGROUND,The present study evaluated the effect of ASV and CPAP at comparable pressure on muscle sympathetic nerve activity ( MSNA ) in patients with heart failure ( HF ) and with or without periodic breathing ( PB ) .
2846,RESULTS,A total of 57 patients with HF ( ejection fraction < 0.45 ) were randomized to receive CPAP ( n = 28 ) or ASV ( n = 29 ) .
2847,RESULTS,"Respiratory profiles and MSNA were continuously monitored before and during CPAP and ASV ( 30min ) at pressures of 6.5 and 6.6 cmH2O , respectively ."
2848,RESULTS,The severity of respiratory instability was determined using the coefficient of variation of tidal volume ( CV-TV ) .
2849,RESULTS,"Although heart rate and blood pressure remained unchanged , only ASV improved CV-TV ."
2850,RESULTS,"MSNA decreased in the ASV ( P < 0.001 ) , but not in the CPAP group ."
2851,RESULTS,The change in CV-TV independently predicted changes in MSNA ( P < 0.001 ) .
2852,RESULTS,"Device type and PB significantly interacted with changes in MSNA ( P < 0.05 ) and ASV exerted sympathoinhibitory effects in patients with PB , whereas CPAP did not ."
2853,RESULTS,A sympathoinhibitory effect in patients without PB was not evident in either treatment arm .
2854,CONCLUSIONS,ASV probably exerts its sympathoinhibitory effects in patients with HF and PB through pressure support .
2855,OBJECTIVE,"To determine the response , toxicities , and progression free survival of a regimen of temsirolimus with or without hormonal therapy in the treatment of advanced , or recurrent endometrial carcinoma ."
2856,BACKGROUND,Preclinical evidence suggested that blockade of the PI3K/AKT/mTOR pathway might overcome resistance to hormonal therapy .
2857,METHODS,We performed a randomized phase II trial of intravenous temsirolimus 25mg weekly versus the combination of weekly temsirolimus with a regimen of megestrol acetate 80 mg bid for three weeks alternating with tamoxifen 20mg bid for three weeks in women with recurrent or metastatic endometrial carcinoma .
2858,RESULTS,"There were 71 eligible patients who received at least one dose of therapy with 21 of these treated on the combination arm which was closed early because of an excess of venous thrombosis , with 5 episodes of deep venous thrombosis ( DVT ) and 2 pulmonary emboli ."
2859,RESULTS,There were three responses observed in that arm ( 14 % ) .
2860,RESULTS,A total of 50 eligible patients were treated on the single agent arm with 3 episodes of DVT and 11 responses ( 22 % ) .
2861,RESULTS,Response rates were similar in patients with prior chemotherapy ( 7 of 29 ; 24 % ) and those with no prior chemotherapy ( 4 of 21 ; 19 % ) .
2862,RESULTS,Two of four patients with clear cell carcinoma responded .
2863,CONCLUSIONS,Adding the combination of megestrol acetate and tamoxifen to temsirolimus therapy did not enhance activity and the combination was associated with an excess of venous thrombosis .
2864,CONCLUSIONS,Temsirolimus activity was preserved in patients with prior adjuvant chemotherapy .
2865,OBJECTIVE,A link between poor sleep quality and Alzheimer 's disease ( AD ) has recently been suggested .
2866,OBJECTIVE,"Since endogenous melatonin levels are already reduced at preclinical AD stages , it is important to ask whether replenishing the missing hormone would be beneficial in AD and whether any such effects would be related to the presence of sleep disorder in patients ."
2867,METHODS,"The effects of add-on prolonged-release melatonin ( PRM ) ( 2 mg ) to standard therapy on cognitive functioning and sleep were investigated in 80 patients ( men [ 50.7 % ] , women [ 49.3 % ] , average age 75.3 years [ range , 52-85 years ] ) diagnosed with mild to moderate AD , with and without insomnia comorbidity , and receiving standard therapy ( acetylcholinesterase inhibitors with or without memantine ) ."
2868,METHODS,"In this randomized , double-blind , parallel-group study , patients were treated for 2 weeks with placebo and then randomized ( 1:1 ) to receive 2 mg of PRM or placebo nightly for 24 weeks , followed by 2 weeks placebo ."
2869,METHODS,"The AD Assessment Scale-Cognition ( ADAS-Cog ) , Instrumental Activities of Daily Living ( IADL ) , Mini-Mental State Examination ( MMSE ) , sleep , as assessed by the Pittsburgh Sleep Quality Index ( PSQI ) and a daily sleep diary , and safety parameters were measured ."
2870,RESULTS,"Patients treated with PRM ( 24 weeks ) had significantly better cognitive performance than those treated with placebo , as measured by the IADL ( P = 0.004 ) and MMSE ( P = 0.044 ) ."
2871,RESULTS,Mean ADAS-Cog did not differ between the groups .
2872,RESULTS,"Sleep efficiency , as measured by the PSQI , component 4 , was also better with PRM ( P = 0.017 ) ."
2873,RESULTS,"In the comorbid insomnia ( PSQI 6 ) subgroup , PRM treatment resulted in significant and clinically meaningful effects versus the placebo , in mean IADL ( P = 0.032 ) , MMSE score ( +1.5 versus -3 points ) ( P = 0.0177 ) , and sleep efficiency ( P = 0.04 ) ."
2874,RESULTS,Median ADAS-Cog values ( -3.5 versus +3 points ) ( P = 0.045 ) were significantly better with PRM .
2875,RESULTS,Differences were more significant at longer treatment duration .
2876,RESULTS,"PRM was well tolerated , with an adverse event profile similar to that of placebo ."
2877,CONCLUSIONS,"Add-on PRM has positive effects on cognitive functioning and sleep maintenance in AD patients compared with placebo , particularly in those with insomnia comorbidity ."
2878,CONCLUSIONS,The results suggest a possible causal link between poor sleep and cognitive decline .
2879,BACKGROUND,ARDS is a heterogeneous syndrome that encompasses lung injury from both direct and indirect sources .
2880,BACKGROUND,"Direct ARDS ( pneumonia , aspiration ) has been hypothesized to cause more severe lung epithelial injury than indirect ARDS ( eg , nonpulmonary sepsis ) ; however , this hypothesis has not been well studied in humans ."
2881,METHODS,We measured plasma biomarkers of lung epithelial and endothelial injury and inflammation in a single-center study of 100 patients with ARDS and severe sepsis and in a secondary analysis of 853 patients with ARDS drawn from a multicenter randomized controlled trial .
2882,METHODS,Biomarker levels in patients with direct vs indirect ARDS were compared in both cohorts .
2883,RESULTS,"In both studies , patients with direct ARDS had significantly higher levels of a biomarker of lung epithelial injury ( surfactant protein D ) and significantly lower levels of a biomarker of endothelial injury ( angiopoietin-2 ) than those with indirect ARDS ."
2884,RESULTS,These associations were robust to adjustment for severity of illness and ARDS severity .
2885,RESULTS,"In the multicenter study , patients with direct ARDS also had lower levels of von Willebrand factor antigen and IL-6 and IL-8 , markers of endothelial injury and inflammation , respectively ."
2886,RESULTS,The prognostic value of the biomarkers was similar in direct and indirect ARDS .
2887,CONCLUSIONS,Direct lung injury in humans is characterized by a molecular phenotype consistent with more severe lung epithelial injury and less severe endothelial injury .
2888,CONCLUSIONS,The opposite pattern was identified in indirect lung injury .
2889,CONCLUSIONS,"Clinical trials of novel therapies targeted specifically at the lung epithelium or endothelium may benefit from preferentially enrolling patients with direct and indirect ARDS , respectively ."
2890,OBJECTIVE,This study aims to evaluate the effects of nasal packs on surgical success and related complications in septoplasty .
2891,METHODS,"Thirty-eight patients ( 21 males , 17 females ; mean age , 36.6 years , range 18 to 61 years ) were included in the study ."
2892,METHODS,Septoplasty candidates were prospectively divided into two groups .
2893,METHODS,"Nasal packing and transseptal suture technique was applied to patients in group 1 ( n = 16 ) and group 2 ( n = 22 ) , respectively ."
2894,METHODS,Postoperative pain was assessed with the visual analog scale .
2895,METHODS,The success of surgery was questioned using the Nasal Obstruction Septoplasty Effectiveness ( NOSE ) scale .
2896,METHODS,Surgical success was defined as a 50 % decrease in the NOSE scores .
2897,RESULTS,There was no statistically significant difference in surgical success and complication rates between the groups ( p > 0.05 ) .
2898,RESULTS,Pain scores were significantly higher in group 1 ( p = 0.015 ) .
2899,CONCLUSIONS,Our study results suggest that nasal pack use does not affect surgical success and complication rates in septoplasty .
2900,CONCLUSIONS,Pack-free septoplasty with the transseptal suture technique is an effective method in the treatment of septal deviation .
2901,OBJECTIVE,"To compare the nasal tube with face mask as interfaces for stabilization of very preterm infants at birth by using physiological measurements of leak , obstruction , and expired tidal volumes during positive pressure ventilation ( PPV ) ."
2902,METHODS,"In the delivery room , 43 infants < 30 weeks gestation were allocated to receive respiratory support by nasal tube or face mask ."
2903,METHODS,"Respiratory function , heart rate , and oxygen saturation were measured ."
2904,METHODS,"Occurrence of obstruction , amount of leak , and tidal volumes were compared using a Mann-Whitney U test or a Fisher exact test ."
2905,RESULTS,The first 5 minutes after initiation of PPV were analyzed ( 1566 inflations in the nasal tube group and 1896 inflations in the face mask group ) .
2906,RESULTS,Spontaneous breathing coincided with PPV in 32 % of nasal tube and 34 % of face mask inflations .
2907,RESULTS,"During inflations , higher leak was observed using nasal tube compared with face mask ( 98 % [ 33 % -100 % ] vs 14 [ 0 % -39 % ] ; P < .0001 ) ."
2908,RESULTS,Obstruction occurred more often ( 8.2 % vs 1.1 % ; P < .0001 ) .
2909,RESULTS,Expired tidal volumes were significantly lower during inflations when using nasal tube compared with face mask ( 0.0 [ 0.0-3 .1 ] vs 9.9 [ 5.5-12 .8 ] mL/kg ; P < .0001 ) and when spontaneous breathing coincided with PPV ( 4.4 [ 2.1-8 .4 ] vs 9.6 [ 5.4-15 .2 ] mL/kg ; P < .0001 ) but were similar during breathing on continuous positive airway pressure ( 4.7 [ 2.8-6 .9 ] vs 4.8 [ 2.7-7 .9 ] mL/kg ; P > 0.05 ) .
2910,RESULTS,"Heart rate was not significantly different between groups , but oxygen saturation was significantly lower in the nasal tube group the first 2 minutes after start of respiratory support ."
2911,CONCLUSIONS,"The use of a nasal tube led to large leak , more obstruction , and inadequate tidal volumes compared with face mask ."
2912,BACKGROUND,Trial registration Registered with the Dutch Trial Registry ( NTR 2061 ) and the Australia and New Zealand Clinical Trials Register ( ACTRN 12610000230055 ) .
2913,OBJECTIVE,"To evaluate the efficacy and safety of ospemifene , a novel selective oestrogen receptor modulator , in the treatment of vaginal dryness in postmenopausal women with vulvovaginal atrophy ( VVA ) ."
2914,METHODS,"A 12 week , multicentre , randomised , double-blind , parallel-group phase III study of women ( 40-80 years ) with VVA and self-reported vaginal dryness as their most bothersome symptom ."
2915,METHODS,"The co-primary efficacy endpoints were the change from baseline to Week 12 in ( 1 ) percentage of parabasal cells in the maturation index ( MI ) , ( 2 ) percentage of superficial cells in the MI , ( 3 ) vaginal pH , and ( 4 ) severity of vaginal dryness ."
2916,METHODS,"Safety assessments included physical examination , cervical Papanicolaou test and clinical laboratory analyses ."
2917,METHODS,Endometrial thickness and histology was also assessed .
2918,RESULTS,A total of 314 women were randomised to once-daily ospemifene 60 mg/day ( n = 160 ) or placebo ( n = 154 ) .
2919,RESULTS,Significant improvements in the percentages of parabasal and superficial cells in the MI and vaginal pH were observed with ospemifene compared with placebo ( p < 0.001 for all parameters ) .
2920,RESULTS,The mean change from baseline in severity score of vaginal dryness reported by women receiving ospemifene compared with those receiving placebo approached statistical significance ( p = 0.080 ) .
2921,RESULTS,Improvements in each of the four co-primary endpoints with ospemifene were statistically significant compared to placebo in the per protocol population .
2922,RESULTS,The majority of treatment-emergent adverse events were considered mild to moderate in severity .
2923,CONCLUSIONS,Once-daily oral ospemifene 60 mg was effective for the treatment of VVA in postmenopausal women with vaginal dryness .
2924,BACKGROUND,"Guidelines recommend lopinavir/ritonavir ( LPV/r ) as first - and second-line therapy for young and older HIV-infected children , respectively ."
2925,BACKGROUND,Available formulations have limitations making their widespread use complex .
2926,METHODS,"An open-label comparative bioavailability ( randomized crossover ) study compared a novel twice-daily minitab sprinkle formulation ( 40 mg/10 mg , Cipla Pharmaceuticals ) versus innovator syrup in HIV-infected Ugandan infants aged 3 to < 12 months ( cohort A ) and children aged 1-4 years ( cohort B ) and versus Cipla tablets ( 100/25 mg ) in children aged 4 to < 13 years ( cohort C ) ."
2927,METHODS,Twelve-hour intensive pharmacokinetic sampling after observed LPV/r intake ( plus 2 nucleoside reverse transcriptase inhibitors ) following World Health Organization 2010 dosing with food was performed 4 weeks after enrollment .
2928,METHODS,Children then switched formulation ; sampling was repeated at week 8 .
2929,METHODS,Acceptability data were also collected .
2930,RESULTS,Seventy-seven infants/children were included in cohort A ( n = 19 ) / B ( n = 26 ) / C ( n = 32 ) .
2931,RESULTS,"Among 132 evaluable pharmacokinetic profiles , there were 13/21/25 within-child comparisons in cohort A/B/C ."
2932,RESULTS,"For minitabs versus syrup , geometric mean [ 95 % confidence interval ( CI ) ] AUC0-12h was 88.6 ( 66.7-117 .6 ) versus 77.6 ( 49.5-121 .5 ) hmg/L in cohort A [ geometric mean ratio ( GMR ) ( 90 % CI ) = 1.14 ( 0.71 to 1.85 ) ] and 138.7 ( 118.2 to 162.6 ) versus 109.1 ( 93.7 to 127.1 ) hmg/L in cohort B [ GMR ( 90 % CI ) = 1.27 ( 1.10 to 1.46 ) ] ."
2933,RESULTS,"For minitabs versus tablets , geometric mean ( 95 % CI ) AUC0-12h was 83.1 ( 66.7 to 103.5 ) versus 115.6 ( 103.0 to 129.7 ) hmg/L ; GMR ( 90 % CI ) = 0.72 ( 0.60 to 0.86 ) ."
2934,RESULTS,"Subtherapeutic levels ( < 1.0 mg/L ) occurred in 0 ( 0 % ) / 2 ( 15 % ) minitabs/syrup in infants ( P = 0.48 ) , no children aged 1-4 years and 4 ( 16 % ) / 1 ( 4 % ) minitabs/tablets ( P = 0.35 ) ."
2935,RESULTS,"About 13/17 ( 76 % ) and 19/26 ( 73 % ) caregivers of infants and children aged 1-4 years , respectively , chose to continue minitabs after week 8 , mainly for convenience ; only 7/29 ( 24 % ) older children ( five < 6 years ) remained on minitabs ."
2936,CONCLUSIONS,"LPV/r exposure from minitabs was comparable with syrup , but lower than tablets , with no significant differences in subtherapeutic concentrations ."
2937,CONCLUSIONS,"Minitabs were more acceptable than syrups for younger children , but older children preferred tablets ."
2938,OBJECTIVE,Mindfulness-based interventions may be acceptable to veterans who have poor adherence to existing evidence-based treatments for posttraumatic stress disorder ( PTSD ) .
2939,OBJECTIVE,To compare mindfulness-based stress reduction with present-centered group therapy for treatment of PTSD .
2940,METHODS,Randomized clinical trial of 116 veterans with PTSD recruited at the Minneapolis Veterans Affairs Medical Center from March 2012 to December 2013 .
2941,METHODS,"Outcomes were assessed before , during , and after treatment and at 2-month follow-up ."
2942,METHODS,"Data collection was completed on April 22 , 2014 ."
2943,METHODS,"Participants were randomly assigned to receive mindfulness-based stress reduction therapy ( n = 58 ) , consisting of 9 sessions ( 8 weekly 2.5-hour group sessions and a daylong retreat ) focused on teaching patients to attend to the present moment in a nonjudgmental , accepting manner ; or present-centered group therapy ( n = 58 ) , an active-control condition consisting of 9 weekly 1.5-hour group sessions focused on current life problems ."
2944,METHODS,"The primary outcome , change in PTSD symptom severity over time , was assessed using the PTSD Checklist ( range , 17-85 ; higher scores indicate greater severity ; reduction of 10 or more considered a minimal clinically important difference ) at baseline and weeks 3 , 6 , 9 , and 17 ."
2945,METHODS,"Secondary outcomes included PTSD diagnosis and symptom severity assessed by independent evaluators using the Clinician-Administered PTSD Scale along with improvements in depressive symptoms , quality of life , and mindfulness ."
2946,RESULTS,"Participants in the mindfulness-based stress reduction group demonstrated greater improvement in self-reported PTSD symptom severity during treatment ( change in mean PTSD Checklist scores from 63.6 to 55.7 vs 58.8 to 55.8 with present-centered group therapy ; between-group difference , 4.95 ; 95 % CI , 1.92-7 .99 ; P = .002 ) and at 2-month follow-up ( change in mean scores from 63.6 to 54.4 vs 58.8 to 56.0 , respectively ; difference , 6.44 ; 95 % CI , 3.34-9 .53 , P < .001 ) ."
2947,RESULTS,"Although participants in the mindfulness-based stress reduction group were more likely to show clinically significant improvement in self-reported PTSD symptom severity ( 48.9 % vs 28.1 % with present-centered group therapy ; difference , 20.9 % ; 95 % CI , 2.2 % -39.5 % ; P = .03 ) at 2-month follow-up , they were no more likely to have loss of PTSD diagnosis ( 53.3 % vs 47.3 % , respectively ; difference , 6.0 % ; 95 % CI , -14.1 % to 26.2 % ; P = .55 ) ."
2948,CONCLUSIONS,"Among veterans with PTSD , mindfulness-based stress reduction therapy , compared with present-centered group therapy , resulted in a greater decrease in PTSD symptom severity ."
2949,CONCLUSIONS,"However , the magnitude of the average improvement suggests a modest effect ."
2950,BACKGROUND,clinicaltrials.gov Identifier : NCT01548742 .
2951,BACKGROUND,The relationship between tobacco and cannabis use is strong .
2952,BACKGROUND,"When co-smokers try to quit only one substance , this relationship often leads to a substitution effect , that is , the increased use of the remaining substance ."
2953,BACKGROUND,"Stopping the use of both substances simultaneously is therefore a reasonable strategy , but co-smokers rarely report feeling ready for simultaneous cessation ."
2954,BACKGROUND,"Thus , the question of how co-smokers can be motivated to attempt a simultaneous cessation has arisen ."
2955,BACKGROUND,"To reach as many co-smokers as possible , we developed brief Web-based interventions aimed at enhancing the readiness to simultaneously quit tobacco and cannabis use ."
2956,OBJECTIVE,Our aim was to analyze the efficacy of three different Web-based interventions designed to enhance co-smokers ' readiness to stop tobacco and cannabis use simultaneously .
2957,METHODS,"Within a randomized trial , three brief Web-based and fully automated interventions were compared ."
2958,METHODS,"The first intervention combined the assessment of cigarette dependence and problematic cannabis use with personalized , normative feedback ."
2959,METHODS,The second intervention was based on principles of motivational interviewing .
2960,METHODS,"As an active psychoeducational control group , the third intervention merely provided information on tobacco , cannabis , and the co-use of the two substances ."
2961,METHODS,The readiness to quit tobacco and cannabis simultaneously was measured before and after the intervention ( both online ) and 8 weeks later ( online or over the phone ) .
2962,METHODS,"Secondary outcomes included the frequency of cigarette and cannabis use , as measured at baseline and after 8 weeks ."
2963,RESULTS,"A total of 2467 website users were assessed for eligibility based on their self-reported tobacco and cannabis co-use , and 325 participants were ultimately randomized and analyzed ."
2964,RESULTS,"For the post-intervention assessment , generalized estimating equations revealed a significant increase in the readiness to quit tobacco and cannabis in the total sample ( B = .33 , 95 % CI 0.10-0 .56 , P = .006 ) ."
2965,RESULTS,"However , this effect was not significant for the comparison between baseline and the 8-week follow-up assessment ( P = .69 ) ."
2966,RESULTS,"Furthermore , no differential effects between the interventions were found , nor were any significant intervention or time effects found on the frequency of tobacco or cannabis use ."
2967,CONCLUSIONS,"In the new field of dual interventions for co-smokers of tobacco and cannabis , Web-based interventions can increase the short-term readiness to quit tobacco and cannabis simultaneously ."
2968,CONCLUSIONS,The studied personalized techniques were no more effective than was psychoeducation .
2969,CONCLUSIONS,"The analyzed brief interventions did not change the secondary outcomes , that is the frequency of tobacco and cannabis use ."
2970,BACKGROUND,International Standard Randomized Controlled Trial Number ( ISRCTN ) : 56326375 ; http://www.isrctn.com/ISRCTN56326375 ( Archived by WebCite at http://www.webcitation.org/6UUWBh8u0 ) .
2971,OBJECTIVE,To evaluate the clinical effects of Yuleshu oral mixture combined with conventional therapy on chronic prostatitis .
2972,METHODS,"Eighty-eight patients with chronic prostatitis/chronic pelvic pain syndrome ( CP/CPPS ) were equally randomized to a control and an experimental group to receive conventional therapy ( oral antibiotics , alpha blockers , proprietary Chinese medicine for activating blood circulation and massage of the prostate ) and conventional therapy combined with Yuleshu oral mixture respectively ."
2973,METHODS,"Before and after treatment , the severity of symptoms and sexual function of the patients were evaluated using NIH-CPSI and IIEF-5 , their anxiety , depression and other emotional problems assessed with Hamilton Depression Rating Scale ( HAMD ) and Hamilton Anxiety Scale ( HAMA ) , and the results subjected to statistical analysis ."
2974,RESULTS,"Both the experimental and control groups showed significant improvement in prostatitis symptoms and sexual function after treatment as compared with the baseline ( P < 0.01 ) , even more significant in the former than in the latter group , especially in pain symptoms ( 7.89 + / - 2.82 vs 10.41 + / - 2.55 , P < 0.01 ) ."
2975,RESULTS,"Before and after treatment , the HAMA and HAMD score had no significant difference in the control , but there was significant difference in the experimental group ."
2976,RESULTS,"The experimental group exhibited remarkably higher scores after than before treatment on HAMA ( 24.30 + / - 5.07 vs 13.80 + / - 3.62 , P < 0.01 ) and HAMD ( 23.81 + / - 5.01 vs 16.23 + / - 5.93 , P < 0.01 ) , but not the control group ( P > 0.05 ) ."
2977,CONCLUSIONS,"Yuleshu oral mixture can effectively relieve anxiety , depression and other psychological problems in CP/CPPS patients , and improve their clinical symptoms as well ."
2978,CONCLUSIONS,"Therefore , it is an effective drug for chronic prostatitis ."
2979,OBJECTIVE,To investigate clinical efficacy and safety of 2 certolizumab pegol ( CZP ) maintenance dosing regimens plus methotrexate ( MTX ) in active rheumatoid arthritis ( RA ) patients achieving the American College of Rheumatology 20 % improvement criteria ( ACR20 ) after the CZP 200 mg every 2 weeks open-label run-in period .
2980,METHODS,"DOSEFLEX ( dosing flexibility ) was a double-blind , placebo-controlled randomized study with an open-label run-in phase ."
2981,METHODS,"During the run-in phase , all patients received CZP 400 mg ( weeks 0 , 2 , and 4 ) and 200 mg every 2 weeks to week 16 ."
2982,METHODS,"Week 16 ACR20 responders were randomized 1:1:1 at week 18 to CZP 200 mg every 2 weeks , 400 mg every 4 weeks , or placebo ."
2983,RESULTS,"A total of 209 ( of 333 ) patients were randomized at week 18 ( CZP : 200 mg , n = 70 ; 400 mg , n = 70 ; placebo , n = 69 ) ."
2984,RESULTS,Groups had similar baseline characteristics ( week 0 ) .
2985,RESULTS,"Week 34 ACR20 response rates were comparable between the CZP 200 mg every 2 weeks and the 400 mg every 4 weeks groups ( 67.1 % versus 65.2 % ) , which was significantly higher than placebo ( 44.9 % ; P = 0.009 and P = 0.017 ) ."
2986,RESULTS,"ACR50/70 and remission criteria were met more frequently in CZP groups than placebo at week 34 , with similar responses between anti-tumor necrosis factor-experienced and naive patients ."
2987,RESULTS,Improvements from baseline Disease Activity Score in 28 joints using the erythrocyte sedimentation rate and Health Assessment Questionnaire disability index scores were maintained in CZP groups from week 16 to 34 while worsening on placebo .
2988,RESULTS,"Adverse event ( AE ) rates in the double-blind phase were 62.9 % versus 60.9 % versus 62.3 % ; serious AE rates were 7.1 % versus 2.9 % versus 0.0 % ( CZP 200 mg , 400 mg , and placebo groups ) ."
2989,CONCLUSIONS,"In active RA patients with an incomplete MTX response , CZP 200 mg every 2 weeks and 400 mg every 4 weeks were comparable and better than placebo for maintaining clinical response to week 4 following a 16-week , open-label run-in phase ."
2990,OBJECTIVE,The goal of this study was to evaluate the effectiveness of nebulized beclomethasone in preventing the recurrence of viral wheezing .
2991,METHODS,"The study was designed as a randomized , double-blind , placebo-controlled trial ."
2992,METHODS,"Outpatient children aged 1 to 5 years with at least 1 episode of viral wheezing in the last 12 months , presenting to any of 40 Italian pediatricians for an upper respiratory tract infection , were randomly allocated to receive beclomethasone 400 g or placebo twice daily for 10 days ."
2993,METHODS,Medications were administered through a nebulizer .
2994,METHODS,A clinical evaluation was performed by the pediatrician at the start and end of the treatment period .
2995,METHODS,A subjective evaluation of symptoms and efficacy of treatment was performed by the parents .
2996,METHODS,The primary endpoint was the incidence of viral wheezing diagnosed by the pediatricians during the 10-day treatment period .
2997,RESULTS,"A total of 525 children were enrolled in the study , 521 of whom were visited at the end of the treatment period ."
2998,RESULTS,"Wheezing was diagnosed by the pediatricians in 47 children ( 9.0 % [ 95 % confidence interval : 6.7 to 11.3 ] ) , with no statistically significant differences between treatment groups ( beclomethasone versus placebo relative risk : 0.61 [ 95 % confidence interval : 0.35 to 1.08 ] ) ."
2999,RESULTS,The treatment was considered helpful by 63 % of parents ( 64 % in the beclomethasone group vs 61 % in the placebo group ) .
3000,RESULTS,"In all , 46 % of children still had infection symptoms at the end of the treatment period , with no differences between groups ."
3001,CONCLUSIONS,The findings from this study confirm that inhaled steroids are not effective in preventing recurrence of viral wheezing .
3002,CONCLUSIONS,"Moreover , no benefits were found in reducing symptoms of respiratory tract infections ."
3003,OBJECTIVE,To examine the effect of repeated-sprint training ( RST ) vs combined RST and resistance training with superimposed vibrations on repeated-sprint ability ( RSA ) and lower-body power output in male rugby players .
3004,METHODS,Players were divided into 2 training groups .
3005,METHODS,One group performed RST ( n = 10 ) 2 d/wk and the other performed RST 1 d/wk and squat resistance training with superimposed vibrations on the second day ( RS+ST ; n = 10 ) .
3006,METHODS,"The squat training was carried out with a volume similar ( ie , number of sets and repetitions ) to that of the RST ."
3007,METHODS,"The training period lasted 6 wk , and it was carried out as a supplement to the regular rugby training sessions ."
3008,RESULTS,"Substantial improvements in RSA mean time ( RSA ( mean ) ; +2.3 % / ES : 0.77 vs +4.1 % / ES : 0.91 ) , RSA percent decrement ( % Dec ; -25.6 % / ES : 1.70 vs -23.2 % / ES : 0.99 ) , and squat absolute power output ( +5.0 % / ES :0.36 vs +17.2 % / ES : 0.93 ) were obtained in RST and RS+ST , respectively ."
3009,RESULTS,Substantial improvements in RSA best time ( RSA ( best ) ; +2.6 % / ES : 0.61 ) and squat power output normalized to body mass ( +18.6 % / ES : 0.76 ) only occurred in RS+ST .
3010,RESULTS,Both pretest and posttest RSA ( mean ) were largely correlated with the RSA ( best ) .
3011,RESULTS,"However , there were only unclear , small to moderate correlations between individual changes in squat power output and either RSA ( mean ) or RSA ( best ) ."
3012,CONCLUSIONS,Combined RST and resistance training induced improvements of greater magnitude in both repeated-sprint performance and muscle power output than the RST alone .
3013,CONCLUSIONS,The lack of substantial correlations between individual changes in repeated-sprint and muscle-power performance suggests that the same subjects were not systematically low or high responders to both RST and strength training .
3014,BACKGROUND,The relative performance of ART sealant and fluoride-releasing resin sealant in preventing fissure caries in permanent molars was compared in a randomized clinical trial conducted in southern China ( ClinicalTrials.gov NCT01829334 ) .
3015,METHODS,"After obtaining ethical approval , healthy schoolchildren who had permanent first molars with occlusal fissures which were sound but deep or presented with only incipient caries were recruited for the study ."
3016,METHODS,Included molars were randomly allocated into one of four parallel study groups in units of left/right teeth per mouth .
3017,METHODS,Two of the four groups adopted the methods of ART or fluoride-releasing resin sealant placement while the other two groups adopted the topical fluoride application methods .
3018,METHODS,Fissure status of the molars in each group was evaluated every 6 months .
